branch,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,college_code,college_name,round
EC Electronics,79943,,100153,72545,80705,76892,79982,,99506,79077,,,61106,,,58377,63688,75137,124761,138965,125695,107540,,130018,E066,"University B.D.T. college of Engineering, (H.GOV)  Davangere",Mock1
EE Electrical,93844,,120511,96584,,101635,133996,,,106408,,,84514,,,79810,86425,88784,137596,,,142833,,,E066,"University B.D.T. college of Engineering, (H.GOV)  Davangere",Mock1
EI Elec. Inst. Engg,136782,,,137366,,209629,146257,,,130536,,,124617,,,121159,143005,129215,221405,,247116,190271,,,E066,"University B.D.T. college of Engineering, (H.GOV)  Davangere",Mock1
ME Mechanical,144077,,,149205,,156984,156990,,,142536,,,146505,,,139777,148509,152041,190766,,203171,172991,252173,,E066,"University B.D.T. college of Engineering, (H.GOV)  Davangere",Mock1
RI Robotics and AI,128690,,,118693,,,112792,,,115607,,,104230,122117,,98340,,110845,133780,,223232,117842,,242645,E066,"University B.D.T. college of Engineering, (H.GOV)  Davangere",Mock1
AI Artificial Intelligence,,,,100273,,109568,,,,98899,105963,,99523,,,89223,,90891,185595,,192771,218082,,,E070,"Bahubali College of Engineering  Hassan Dist,",Mock1
CE Civil,252170,,,253129,,,,,,,,,,,,226009,,233270,234083,,,,,,E070,"Bahubali College of Engineering  Hassan Dist,",Mock1
CS Computers,99855,,,88354,,,106808,,123385,76047,,102364,75932,,,74096,77898,81623,130715,,,135651,,,E070,"Bahubali College of Engineering  Hassan Dist,",Mock1
EC Electronics,118244,,,113362,136275,117122,157891,,,99459,,,103212,,,98391,,102443,183507,,202503,195597,,,E070,"Bahubali College of Engineering  Hassan Dist,",Mock1
IE Info.Science,114129,,,117294,,,128283,,,109233,,,109368,,113114,107499,,107612,168144,212073,,189730,,203920,E070,"Bahubali College of Engineering  Hassan Dist,",Mock1
ME Mechanical,,,,,,,,,,,,,,,,231383,232132,254534,270133,,,,,,E070,"Bahubali College of Engineering  Hassan Dist,",Mock1
"CA CS (AI, Machine Learning)",26553,,37529,26273,,30785,26835,,,19780,32675,,19978,,,19266,28548,21496,67648,,103351,62460,93668,74670,E071,Vidya Vardhaka College of Engineering  Mysuru,Mock1
CE Civil,128020,,,115887,,,135681,261660,,101219,,111145,112315,,,99359,111826,110393,150718,,,166424,,198548,E071,Vidya Vardhaka College of Engineering  Mysuru,Mock1
CS Computers,24443,,28855,22008,25505,25234,25657,,33610,16449,,18521,16141,22881,18004,15247,21532,17682,59337,79074,78182,59855,82902,71080,E071,Vidya Vardhaka College of Engineering  Mysuru,Mock1
EC Electronics,24526,,,28959,40166,33525,36968,,,23302,,,24334,,26005,22628,32363,24447,75200,,82108,73956,,98410,E071,Vidya Vardhaka College of Engineering  Mysuru,Mock1
EE Electrical,38303,91440,,40001,,,41311,,199582,38309,,,34019,,,33934,34223,37702,85103,,100562,75373,,,E071,Vidya Vardhaka College of Engineering  Mysuru,Mock1
IE Info.Science,28224,,,24048,,27516,35432,,,19790,,,19824,,20890,19332,27541,20524,79313,93956,104714,74175,,82581,E071,Vidya Vardhaka College of Engineering  Mysuru,Mock1
ME Mechanical,116111,140550,181946,96222,148653,124029,104852,,,76697,,,96416,,102323,76371,123116,100250,153607,175934,183649,147276,,153946,E071,Vidya Vardhaka College of Engineering  Mysuru,Mock1
AI Artificial Intelligence,72928,,,62454,,62633,70160,,,62389,,,65226,,,55087,,58815,109653,,128145,88155,161587,,E075,Ballari Institute of Technology and Management  Near Allipur Bellary,Mock1
CE Civil,,242409,,163302,,,,,188252,,,,,,,117090,,,176063,,,,,,E075,Ballari Institute of Technology and Management  Near Allipur Bellary,Mock1
CF CS(Artificial Intel.),,,173312,70427,,,68693,,,,,,67602,,,51624,94580,64195,94470,,,116170,,,E075,Ballari Institute of Technology and Management  Near Allipur Bellary,Mock1
CS Computers,43372,,,37889,59729,44402,,,,36528,,,36853,,,29703,,36178,63670,,122955,62466,,76828,E075,Ballari Institute of Technology and Management  Near Allipur Bellary,Mock1
DS Comp. Sc. Engg- Data Sc.,84109,,,67018,,,84432,,,,,97154,,,,62379,76277,82589,148229,,,119930,,,E075,Ballari Institute of Technology and Management  Near Allipur Bellary,Mock1
EC Electronics,80630,,,76240,,102965,60982,,,76643,,,64788,,,60925,,69425,150514,158700,255701,78337,,,E075,Ballari Institute of Technology and Management  Near Allipur Bellary,Mock1
EE Electrical,113054,,,104640,,,,,,,,180231,90918,124987,139059,89744,,119466,150973,,,124835,,,E075,Ballari Institute of Technology and Management  Near Allipur Bellary,Mock1
ME Mechanical,,,,,,,,,,,,,,,,274227,,,,,,,,,E075,Ballari Institute of Technology and Management  Near Allipur Bellary,Mock1
"CA CS (AI, Machine Learning)",,,,105867,,,,,,,,,,103981,,88753,,,184679,,,207638,,253791,E076,"Proudadevaraya Institute of Technology  Indiranagar Hospet, Ballari DT",Mock1
CE Civil,,,,,,,,,,209666,,,,,,152241,,,191562,,,,,,E076,"Proudadevaraya Institute of Technology  Indiranagar Hospet, Ballari DT",Mock1
CS Computers,,,,93781,,105128,74550,,,,,,79828,,,70813,88942,80174,148114,,,135053,,,E076,"Proudadevaraya Institute of Technology  Indiranagar Hospet, Ballari DT",Mock1
EC Electronics,147771,,,114575,,,,,,,,,,,,108588,,121796,130328,,218021,,,,E076,"Proudadevaraya Institute of Technology  Indiranagar Hospet, Ballari DT",Mock1
EE Electrical,,,201392,158830,,,187277,,,,,,,,,146578,,159825,223685,,,,179039,,E076,"Proudadevaraya Institute of Technology  Indiranagar Hospet, Ballari DT",Mock1
ME Mechanical,,,,,,,,,,,,,,,,270055,,,,,,,,,E076,"Proudadevaraya Institute of Technology  Indiranagar Hospet, Ballari DT",Mock1
CE Civil,169054,,,176182,,186803,171192,,,172645,180331,,165164,,178192,146315,153928,176352,185970,,225364,191918,213859,,E077,Vidya Vikas Institute of Engineering and Technology  Mysuru,Mock1
CS Computers,33060,,,36158,,,37442,,55908,30275,,35499,31446,,,29207,41502,32700,72350,77095,,88795,,,E077,Vidya Vikas Institute of Engineering and Technology  Mysuru,Mock1
EC Electronics,56834,,,59615,,63339,74790,,,57016,,,54054,,60879,50496,59769,53939,130505,162932,153253,113335,,,E077,Vidya Vikas Institute of Engineering and Technology  Mysuru,Mock1
EE Electrical,115989,,,97561,108774,113484,110419,,,85246,,,97188,,,80689,95480,97911,157326,,165436,145233,,226155,E077,Vidya Vikas Institute of Engineering and Technology  Mysuru,Mock1
IE Info.Science,48988,,66499,52052,56886,,45114,,,,,58337,44214,,,42407,,47612,127950,,,118010,,144439,E077,Vidya Vikas Institute of Engineering and Technology  Mysuru,Mock1
ME Mechanical,,,,,,,,,,,,,,,,,,,,,,,,,E077,Vidya Vikas Institute of Engineering and Technology  Mysuru,Mock1
AI Artificial Intelligence,,80186,44522,34623,,,38925,,,32209,,,33049,,,31855,,34134,68845,,78421,51804,,,E078,The Oxford College of Engineering  Bangalore,Mock1
BT Bio Technology,51414,,,60866,,,70460,,174581,46948,,71276,54685,,,44638,119094,64229,106526,,,93326,,,E078,The Oxford College of Engineering  Bangalore,Mock1
CE Civil,175068,,,165897,,196726,,,,161368,,,179778,,207459,145402,,157691,197684,,211285,177681,,,E078,The Oxford College of Engineering  Bangalore,Mock1
CS Computers,35900,,,34723,37451,36779,40511,,,29152,,,30502,,32495,28376,30115,31507,78194,111806,99634,71923,,85717,E078,The Oxford College of Engineering  Bangalore,Mock1
EC Electronics,50714,,,51764,,52337,46363,,,46745,,,46719,,,45953,47728,48025,107140,,126118,141761,215445,154493,E078,The Oxford College of Engineering  Bangalore,Mock1
EE Electrical,95233,,,86324,,96918,100479,,128819,76834,,,72442,,,69055,73274,76235,148004,,,150894,,207988,E078,The Oxford College of Engineering  Bangalore,Mock1
IE Info.Science,49305,,,41150,45061,46578,52108,,,38347,,,38623,,,37810,39733,38999,111651,125427,124483,92399,,140649,E078,The Oxford College of Engineering  Bangalore,Mock1
ME Mechanical,131597,,,159382,,,176428,,,,,,137369,,186568,131397,,141724,206573,259353,210386,241808,,,E078,The Oxford College of Engineering  Bangalore,Mock1
MT Mechatronics,,,,121422,,248990,,,,121193,,,122858,,,112933,201236,176874,223338,,,246835,,,E078,The Oxford College of Engineering  Bangalore,Mock1
AE Aeronaut.Engg,45876,,,44183,,57847,40884,,,,,,41551,,,34952,42779,42032,75760,,124472,87830,,,E079,Acharya Institute of Technology  Bangalore,Mock1
AI Artificial Intelligence,26784,,,25667,,27015,27856,,,22216,,,23436,,24686,21848,26186,23470,65633,103179,78295,70947,,85104,E079,Acharya Institute of Technology  Bangalore,Mock1
BT Bio Technology,,137137,,53011,,74328,82060,,,38334,,,40470,,,37574,,61695,83538,,163072,101835,,,E079,Acharya Institute of Technology  Bangalore,Mock1
CE Civil,123912,,,122427,,,142419,,,108382,,115481,104585,,,101421,121829,108895,130875,185409,152788,137620,,,E079,Acharya Institute of Technology  Bangalore,Mock1
CS Computers,23629,,25404,22023,24337,22814,27045,,37434,18897,,,18751,25126,21294,18475,24279,20533,60628,67572,73156,58394,,62591,E079,Acharya Institute of Technology  Bangalore,Mock1
DS Comp. Sc. Engg- Data Sc.,26320,,,28231,,,28706,52482,39780,23706,,,23882,,,23530,,24237,77273,,,80225,,82656,E079,Acharya Institute of Technology  Bangalore,Mock1
EC Electronics,34152,,,31831,40472,32628,37293,,,28083,,31243,30626,,,27978,30921,30283,91703,,94631,82825,,88986,E079,Acharya Institute of Technology  Bangalore,Mock1
EE Electrical,54964,,,55943,,56435,58068,,,48711,,,48606,,,46733,48802,53593,125855,,131594,131574,,,E079,Acharya Institute of Technology  Bangalore,Mock1
IE Info.Science,31595,,36438,28311,35844,33146,36322,,58772,25377,,,24922,,27423,24321,28121,26327,95564,105223,110131,87926,152552,107431,E079,Acharya Institute of Technology  Bangalore,Mock1
ME Mechanical,106594,,147662,112897,,,,,,104338,181313,120126,99743,,,96688,,114147,177843,,,186240,,,E079,Acharya Institute of Technology  Bangalore,Mock1
MT Mechatronics,,,,96055,,157414,96047,,,88590,,,93869,,,85812,104423,140046,179336,,196649,140004,,,E079,Acharya Institute of Technology  Bangalore,Mock1
CE Civil,,,211722,184868,,,169535,,,,,,196912,,,148327,,181169,210472,,,263859,,,E081,H M S Institute of Technology  Tumkur,Mock1
CS Computers,,,,,,,,,,,,,,,,,,,,,,,,,E081,H M S Institute of Technology  Tumkur,Mock1
EC Electronics,,,,94629,,115178,,,,,,,104067,,,84819,,86870,163508,,,140536,,,E081,H M S Institute of Technology  Tumkur,Mock1
EE Electrical,,,,134881,,,151580,,,,,,,,,123801,,132484,166215,,,145822,,274731,E081,H M S Institute of Technology  Tumkur,Mock1
IE Info.Science,115019,,,107567,,,124076,,255655,99545,,,101973,,,97189,100282,100567,158003,193132,204504,178589,,,E081,H M S Institute of Technology  Tumkur,Mock1
ME Mechanical,,,,,,,,,,,,,,,,257637,,,,,,,,,E081,H M S Institute of Technology  Tumkur,Mock1
ZC CSC,122000,,,127515,143117,147327,121416,,128328,113439,,126645,110126,,133222,105725,129863,116648,183434,198226,198310,188338,247834,249204,E081,H M S Institute of Technology  Tumkur,Mock1
"CA CS (AI, Machine Learning)",23370,,28041,21508,,27559,29829,,,17527,,,17994,30572,,17302,26727,19490,74420,,114405,76925,,,E082,J S S Academy of Technical Education  Bangalore,Mock1
CE Civil,148996,247928,,134966,,,146302,,197017,110567,,136218,108419,,,108148,,135843,176001,,181418,181424,,,E082,J S S Academy of Technical Education  Bangalore,Mock1
CS Computers,18325,,,19359,19833,21995,25485,,,14461,,,14323,,18330,13715,14856,16323,60157,74481,80654,49756,,62898,E082,J S S Academy of Technical Education  Bangalore,Mock1
EC Electronics,31749,,,29237,,33963,42454,,,22286,,,24345,,29593,21859,31797,26557,94990,110501,113117,100592,142846,106510,E082,J S S Academy of Technical Education  Bangalore,Mock1
EI Elec. Inst. Engg,58979,210249,74970,59746,,74896,60758,,,50805,,,49802,,,43113,54705,60864,147174,,,137733,,,E082,J S S Academy of Technical Education  Bangalore,Mock1
IE Info.Science,23600,,,22066,34677,22541,35616,,42449,18099,,,18238,,20054,16849,25001,19362,83827,110033,104968,81392,,94506,E082,J S S Academy of Technical Education  Bangalore,Mock1
ME Mechanical,147150,,,116180,,,126626,,,101941,190429,193277,101221,,,99452,,127324,192762,,206387,206351,,,E082,J S S Academy of Technical Education  Bangalore,Mock1
RA Robotics and Automation,26747,,,35206,,59324,64891,,,,,,26684,,,22686,67973,25117,95903,,,163792,,,E082,J S S Academy of Technical Education  Bangalore,Mock1
AI Artificial Intelligence,60031,,,66365,,73410,61600,,73469,56560,84635,,59633,,,53800,62398,57076,130026,,157861,101675,,,E083,H.K.B.K.College of Engineering  Bangalore,Mock1
CS Computers,63068,,76706,63054,64598,63946,53490,,,51170,,56275,54474,,57885,48219,56621,55350,116273,126824,147962,103563,130712,157498,E083,H.K.B.K.College of Engineering  Bangalore,Mock1
EC Electronics,89595,114605,,89045,,105263,77714,,,72651,,,72355,85133,80827,71775,76159,79168,177399,,216213,178806,,216273,E083,H.K.B.K.College of Engineering  Bangalore,Mock1
IE Info.Science,84496,,,71389,88227,82023,64656,,,66377,,,64893,,,63433,68053,65779,149992,220206,156830,191963,,210466,E083,H.K.B.K.College of Engineering  Bangalore,Mock1
ME Mechanical,,,213830,169582,,,145074,,,176148,,193601,164036,,,141750,183247,161256,222849,,,,,,E083,H.K.B.K.College of Engineering  Bangalore,Mock1
"CA CS (AI, Machine Learning)",,,,55801,,,,,,,,73808,55603,,,48480,57246,58431,103139,,,165317,,,E085,"APS College of Engineering  Somanahalli, Bangalore",Mock1
CE Civil,,,,162169,,,,,,,,,173433,,,152734,,153681,211553,,246316,246886,,,E085,"APS College of Engineering  Somanahalli, Bangalore",Mock1
CS Computers,56584,,,56465,,61442,56488,,,47532,,,53405,,53926,47276,47280,48775,83579,102329,108243,102719,,103260,E085,"APS College of Engineering  Somanahalli, Bangalore",Mock1
CY CS- Cyber Security,,,117297,66992,,,,,,62166,,,,,,59035,,74261,115272,,,152027,,,E085,"APS College of Engineering  Somanahalli, Bangalore",Mock1
EC Electronics,72277,,,72513,91336,77775,67906,,,62348,,,66907,,,61861,,64753,126828,,189619,128206,,,E085,"APS College of Engineering  Somanahalli, Bangalore",Mock1
IE Info.Science,74768,,,65268,,68998,82267,,,68865,,,67890,,,62732,70881,65295,144027,,180804,130071,,,E085,"APS College of Engineering  Somanahalli, Bangalore",Mock1
ME Mechanical,204482,,,172704,,,208668,257549,,,,,,,,142363,,,206810,,,,,,E085,"APS College of Engineering  Somanahalli, Bangalore",Mock1
AI Artificial Intelligence,63997,,,57982,,77060,73836,,,51830,,,62915,74898,,48271,,49521,98705,,123000,80535,,,E086,"Sri Sairam College of Engineering(Formerly Shirdi Sai Engg)  Anekal,Bangalore",Mock1
CS Computers,60252,,,67524,68084,68261,58404,,,56604,,,59336,,68460,54488,60873,63565,109369,,115280,101058,,117251,E086,"Sri Sairam College of Engineering(Formerly Shirdi Sai Engg)  Anekal,Bangalore",Mock1
EC Electronics,93045,,,99775,,105749,126196,,147745,87873,,,89362,,,84931,89899,90176,150549,188754,199218,192091,,192721,E086,"Sri Sairam College of Engineering(Formerly Shirdi Sai Engg)  Anekal,Bangalore",Mock1
EE Electrical,,,,114249,,,,,,,,116742,,,,100111,,114135,180967,,,179431,261197,,E086,"Sri Sairam College of Engineering(Formerly Shirdi Sai Engg)  Anekal,Bangalore",Mock1
"IC CS-IoT, Cyber Security",96698,,,97328,,,92928,,,90019,,,87659,,,87514,91248,98766,174000,,201391,189399,,,E086,"Sri Sairam College of Engineering(Formerly Shirdi Sai Engg)  Anekal,Bangalore",Mock1
IE Info.Science,77365,,,77503,114982,86886,101377,,,78083,,,74276,,,71550,75365,84563,126818,,228877,152706,,,E086,"Sri Sairam College of Engineering(Formerly Shirdi Sai Engg)  Anekal,Bangalore",Mock1
ME Mechanical,163756,,232082,183877,,,,,,,,,,,,143591,,202110,224325,,,,,,E086,"Sri Sairam College of Engineering(Formerly Shirdi Sai Engg)  Anekal,Bangalore",Mock1
AI Artificial Intelligence,73637,,75188,68785,,71051,66450,,,50979,,,52517,69070,,50089,51980,67479,119081,,133461,96875,,,E087,Vivekananada Institute of Technology  Bangalore,Mock1
CE Civil,,,,160471,,,,,,,,,165861,,,157732,185276,175299,189898,,270028,262326,,,E087,Vivekananada Institute of Technology  Bangalore,Mock1
CS Computers,52022,,,57658,58716,62464,59967,,,47708,,,48915,,53947,45051,51188,51687,91485,110713,105388,117683,,118308,E087,Vivekananada Institute of Technology  Bangalore,Mock1
EC Electronics,86112,,,86065,,106937,98991,,,79181,,,78236,,94192,74880,86836,81567,171728,,205976,190023,202772,236539,E087,Vivekananada Institute of Technology  Bangalore,Mock1
IE Info.Science,86151,,,77543,88206,90572,76646,,126994,70273,,,69508,,,68692,82624,71728,171991,208899,216050,174424,,218773,E087,Vivekananada Institute of Technology  Bangalore,Mock1
ME Mechanical,198404,,,146589,,,,,,160402,,195119,,,,131125,,190749,207877,,,213737,,,E087,Vivekananada Institute of Technology  Bangalore,Mock1
AI Artificial Intelligence,49570,,,66345,,72284,52054,,,46706,,,53220,,,41331,48142,47963,109158,,121512,99091,,,E088,"Bangalore College of Engineering and Technology  Chandapura, Bangalore",Mock1
CS Computers,49646,,,48976,,73584,45555,,,45124,,,43578,,,40799,44939,45610,88201,102687,115711,79423,,87398,E088,"Bangalore College of Engineering and Technology  Chandapura, Bangalore",Mock1
EC Electronics,,,,66130,110405,,,,194876,56368,,,59641,,60779,52210,,59156,153396,,,181068,,,E088,"Bangalore College of Engineering and Technology  Chandapura, Bangalore",Mock1
EE Electrical,,,120454,99414,,,,,,,,,94454,,,90318,,92798,172597,,,179712,,,E088,"Bangalore College of Engineering and Technology  Chandapura, Bangalore",Mock1
IE Info.Science,82189,,,66044,,,71404,,,,,66626,,,,62851,75992,,120275,,,,,,E088,"Bangalore College of Engineering and Technology  Chandapura, Bangalore",Mock1
CE Civil,,,,230405,,,,,,,,,241372,,,198924,,214129,249886,,,,,,E090,Sri Revana Siddeswara Institute of Technology  Bangalore North,Mock1
CS Computers,67271,,,68066,,79473,57698,,,53843,,,54123,,,52415,58961,53346,113601,117133,116674,100990,,,E090,Sri Revana Siddeswara Institute of Technology  Bangalore North,Mock1
EC Electronics,99866,,,94333,121804,,121094,,,85850,,,,,96852,74200,,92494,132907,,,150099,,,E090,Sri Revana Siddeswara Institute of Technology  Bangalore North,Mock1
ME Mechanical,,,,238170,,,245750,,,215836,,,226670,,,212480,272394,234174,253899,,,,,,E090,Sri Revana Siddeswara Institute of Technology  Bangalore North,Mock1
AI Artificial Intelligence,40881,,58813,42935,61375,49890,49310,,,36135,,,41061,,,35677,46549,46718,115214,,133495,137094,,152301,E091,K S Institute of Technology  Bangalore,Mock1
CC Computer and Comm. Engg.,76589,,,58577,,88658,77727,,,46740,,,51591,,,46250,92542,69970,126423,,167392,97340,,,E091,K S Institute of Technology  Bangalore,Mock1
CD Computer Sc. and Design,56185,,,64744,,,80842,,99357,50963,,71979,57274,,,47424,91226,55859,163757,206202,,207519,,,E091,K S Institute of Technology  Bangalore,Mock1
CS Computers,37528,,,37338,46751,38528,45633,,55862,31048,,,30856,,39216,30174,41958,37896,108705,121697,134211,113803,,132432,E091,K S Institute of Technology  Bangalore,Mock1
EC Electronics,56629,,,59701,,64471,53994,,,47293,,,49654,,55614,46746,53339,55435,159232,,170332,175969,204428,183736,E091,K S Institute of Technology  Bangalore,Mock1
"IC CS-IoT, Cyber Security",74368,,,52199,,60325,69662,,,41091,,,50859,91191,,39606,,55802,137571,,266403,163277,,,E091,K S Institute of Technology  Bangalore,Mock1
ME Mechanical,150483,,,182496,,231039,159459,,,157005,,,142192,,,125484,187042,161687,228860,,236734,,,,E091,K S Institute of Technology  Bangalore,Mock1
AI Artificial Intelligence,56424,,,63112,,,61676,,,54553,,59932,56569,,,54335,74969,57581,125724,,139645,126013,258408,,E092,Vemana Institute of Technology  Bangalore,Mock1
CE Civil,226893,,,257087,,272816,227697,,,223451,,,228296,,,201406,235297,258691,242716,,,,,,E092,Vemana Institute of Technology  Bangalore,Mock1
CS Computers,70292,,,56776,,57128,51098,,,51523,,,54101,68574,58000,50014,60079,54869,109810,,119947,130085,,139915,E092,Vemana Institute of Technology  Bangalore,Mock1
DS Comp. Sc. Engg- Data Sc.,61213,,101093,71820,,,71097,110802,100656,58872,,,59189,,,58503,,74576,134248,,,148484,,,E092,Vemana Institute of Technology  Bangalore,Mock1
EC Electronics,96346,,,101393,104900,114121,95302,,,82245,,,82814,,93958,80473,89987,92628,167684,179473,205479,173192,,253887,E092,Vemana Institute of Technology  Bangalore,Mock1
IE Info.Science,82382,,91616,82211,,88032,72971,,134165,66563,97537,,74085,,,66505,72119,76475,174372,222140,183880,181778,,249428,E092,Vemana Institute of Technology  Bangalore,Mock1
ME Mechanical,207469,,,223934,,,202382,,,213142,,,207602,,,183217,203085,235820,247677,,,,,,E092,Vemana Institute of Technology  Bangalore,Mock1
"AD Artificial Intel, Data Sc",,,,,,137147,,,,89798,,,,,,88362,,,125913,,,,,,E093,"Basavakalyana Engineering College  Basavakalyana, Bidar-Dist",Mock1
CE Civil,,,,267995,,,,,,,,,,,,206408,,221707,251936,,,250619,,,E093,"Basavakalyana Engineering College  Basavakalyana, Bidar-Dist",Mock1
CS Computers,98282,,,91745,,,,,,,,,,,,62212,86371,72836,110090,,,,,,E093,"Basavakalyana Engineering College  Basavakalyana, Bidar-Dist",Mock1
EC Electronics,,,,116514,,,,,,,,,117216,,,114118,,,166036,,,150610,,156185,E093,"Basavakalyana Engineering College  Basavakalyana, Bidar-Dist",Mock1
ES Electronics and Computer,,,,,,,,,,185386,,,,,,138775,,,,,271360,,,,E093,"Basavakalyana Engineering College  Basavakalyana, Bidar-Dist",Mock1
ME Mechanical,,,,,,,,,,,,,,,,215396,,,,,,,,,E093,"Basavakalyana Engineering College  Basavakalyana, Bidar-Dist",Mock1
ZC CSC,,,,114469,,,,,,,,,115513,,,103914,,112641,137509,,,191244,,,E093,"Basavakalyana Engineering College  Basavakalyana, Bidar-Dist",Mock1
"AD Artificial Intel, Data Sc",98430,,,93782,115935,130669,109061,,,80600,,,76912,,,76246,,77229,141486,,148643,145100,,,E094,Coorg Institute of Technology  Kodagu,Mock1
AI Artificial Intelligence,95188,,,93883,,,100715,,,84137,,,80112,,100251,77039,,78373,154306,,166506,110654,174609,,E094,Coorg Institute of Technology  Kodagu,Mock1
CE Civil,,,,194191,,,,,,263243,,,,,,161987,,180546,239940,,,222073,,,E094,Coorg Institute of Technology  Kodagu,Mock1
CS Computers,75590,,103154,79416,,,,,,74186,,,60557,,,59266,77484,60611,113863,175983,,124566,,137027,E094,Coorg Institute of Technology  Kodagu,Mock1
CY CS- Cyber Security,,,,117358,,126463,103591,,,,,,112551,,,100729,126953,106476,180032,,204752,153944,,,E094,Coorg Institute of Technology  Kodagu,Mock1
EC Electronics,116636,,,118973,,124930,136113,,,99058,,,95520,,,94390,105655,101566,156529,,173258,178232,,,E094,Coorg Institute of Technology  Kodagu,Mock1
ME Mechanical,,,,214566,,,,,,,,,273988,,,197945,,232255,238992,,,243138,,,E094,Coorg Institute of Technology  Kodagu,Mock1
AE Aeronaut.Engg,63261,,93733,64351,,,61432,116669,,53001,,,54418,,,52728,75592,54003,94300,,120143,109923,,,E095,AMC Engineering College  Bangalore,Mock1
AI Artificial Intelligence,67277,,,52903,,59502,46723,,,47655,,,45167,,50654,44009,50092,49044,97772,120981,118220,89398,169260,186040,E095,AMC Engineering College  Bangalore,Mock1
"CA CS (AI, Machine Learning)",58778,,,56692,67290,65267,54303,,,48065,,54394,54208,,,46231,59655,51536,110448,189188,141359,119138,,192994,E095,AMC Engineering College  Bangalore,Mock1
CE Civil,,,,131919,,,156170,,,126387,,,,,,111388,140113,139808,160152,,,,,,E095,AMC Engineering College  Bangalore,Mock1
CS Computers,42956,,44572,42936,49876,51482,45411,,48248,39310,,39336,38549,39464,39560,35833,39253,38962,97222,123362,125660,110863,128273,140253,E095,AMC Engineering College  Bangalore,Mock1
DS Comp. Sc. Engg- Data Sc.,60356,127422,,59551,,65333,50172,,,49742,,62870,55061,,,49516,65541,57170,130770,,154670,161392,,230997,E095,AMC Engineering College  Bangalore,Mock1
EC Electronics,64517,,,65679,70607,70935,65041,,,52899,,,57384,,61314,52459,62130,58608,139079,207117,176571,129471,,154068,E095,AMC Engineering College  Bangalore,Mock1
EE Electrical,95492,,,77622,,,92772,,,64689,,,,,,61540,66736,62529,147359,,,164367,,,E095,AMC Engineering College  Bangalore,Mock1
IE Info.Science,70837,,,58034,61616,60625,57442,,,50376,83531,,54945,,57643,50120,61012,55033,133758,,155624,154451,,161781,E095,AMC Engineering College  Bangalore,Mock1
ME Mechanical,,,157195,130857,,,130101,,,,,,,,,112300,,147748,177558,,,211077,,,E095,AMC Engineering College  Bangalore,Mock1
"AD Artificial Intel, Data Sc",43054,,77780,41681,,56254,61005,,,40947,64394,,43783,,,37198,,46715,98723,,,95186,,,E096,East Point College of Engineering and Technology  Bangalore,Mock1
"CA CS (AI, Machine Learning)",62408,109308,,55124,,60915,60990,,,50607,,,52370,,,49088,,58269,85529,,161556,58487,,,E096,East Point College of Engineering and Technology  Bangalore,Mock1
CE Civil,169686,,,147851,,,165728,,,,,,,206158,,139538,,,144576,,,225526,,,E096,East Point College of Engineering and Technology  Bangalore,Mock1
CS Computers,48320,,,47442,52586,55529,53644,,55043,41281,,,42315,,44192,40269,44835,44037,102407,127186,132214,102167,,119367,E096,East Point College of Engineering and Technology  Bangalore,Mock1
EC Electronics,77281,,,70770,,75083,67913,,,64077,,76176,64269,,,63609,77348,74818,160029,,177073,146238,191979,180020,E096,East Point College of Engineering and Technology  Bangalore,Mock1
"IC CS-IoT, Cyber Security",69563,,,70954,,86143,69456,,,66477,,,65710,,,65649,86680,79527,166860,,170858,209759,,,E096,East Point College of Engineering and Technology  Bangalore,Mock1
IE Info.Science,69438,,,75646,79078,77712,66346,,,62434,,69588,62449,,75665,60232,65782,69210,173139,173245,180407,162090,,231025,E096,East Point College of Engineering and Technology  Bangalore,Mock1
ME Mechanical,,,,148439,,,,,180553,149917,,,,,,132844,,163172,213477,,,146925,,,E096,East Point College of Engineering and Technology  Bangalore,Mock1
"AD Artificial Intel, Data Sc",20379,,32409,23165,,26628,28540,,,19488,,,20184,29283,,19086,23915,20600,64014,,74806,73689,,81795,E097,C M R Institute of Technology  Bangalore,Mock1
AI Artificial Intelligence,22619,32784,25085,22834,,24854,23392,,37779,18652,,,19737,,,18611,20641,20467,69867,,89645,43956,,,E097,C M R Institute of Technology  Bangalore,Mock1
"CA CS (AI, Machine Learning)",21074,,,18291,,,23284,86600,,15735,,,19429,,,15268,27533,21488,62636,,92739,47489,,,E097,C M R Institute of Technology  Bangalore,Mock1
CS Computers,16078,,,17418,21963,18852,24066,,,14318,,,13808,,17124,12729,18560,16356,51121,81475,70787,44814,,53072,E097,C M R Institute of Technology  Bangalore,Mock1
DS Comp. Sc. Engg- Data Sc.,21621,,,21046,,,22665,,,18222,33811,20697,18470,,,16880,26239,20125,72215,,94080,53930,,,E097,C M R Institute of Technology  Bangalore,Mock1
EC Electronics,29783,,,27337,44045,29514,37183,,45703,24668,,28073,24411,,27701,23651,30943,27619,93278,135749,106218,100375,127075,116849,E097,C M R Institute of Technology  Bangalore,Mock1
IE Info.Science,18825,,,20259,30465,25317,28673,,,18411,,,18830,,20394,17775,18923,18816,77433,101487,86572,74704,,88333,E097,C M R Institute of Technology  Bangalore,Mock1
